Date;Type;Merchant/Description;Debit/Credit;Balance;
12/11/2024;PAYMENT;****** ******** ******* ************* **** * *******;+£20.00;+£40.91;
12/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£1.00;+£20.91;
12/11/2024;CARD PAYMENT;***** ****** ********* **** ***** ***** ** **********;-£2.98;+£21.91;
12/11/2024;CARD PAYMENT;******* *** **** * **** ***** ***** ** **********;-£3.24;+£24.89;
12/11/2024;CARD PAYMENT;**** ******* ** ********* ***** ******   ** **********;-£25.00;+£28.13;
12/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£53.13;
11/11/2024;CARD PAYMENT;**** ******* ** ***** ********   ** **********;-£2.39;+£55.13;
11/11/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£8.25;+£57.52;
10/11/2024;CARD PAYMENT;************** **** ***** ***** ** **********;-£49.99;+£65.77;
10/11/2024;PAYMENT;****** ******** ******* ******** **** * *******;+£75.00;+£115.76;
10/11/2024;CARD PAYMENT;***** *** **** **** ***** ***** ** **********;-£5.40;+£40.76;
10/11/2024;CARD PAYMENT;****** *** ****** **** **** ***** ***** ** **********;-£7.00;+£46.16;
10/11/2024;CARD PAYMENT;****** *** ****** **** **** ***** ***** ** **********;-£22.50;+£53.16;
09/11/2024;CARD PAYMENT;***** ******* **** ***** ***** ** **********;-£7.40;+£75.66;
09/11/2024;CARD PAYMENT;** *********** **** ***** ***** ** **********;-£10.02;+£83.06;
09/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£93.08;
09/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£95.08;
08/11/2024;CARD PAYMENT;************** **** ***** ***** ** **********;-£41.33;+£97.08;
08/11/2024;CARD PAYMENT;***** ****** **** ***** ***** ** **********;-£1.75;+£138.41;
08/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£140.16;
08/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£4.00;+£142.16;
08/11/2024;CARD PAYMENT;************** **** ***** ***** ** **********;-£89.99;+£146.16;
08/11/2024;PAYMENTS;**** ******* *** ****** ******* ** ****** * ******* ********* ******* **** * ******* ** **;-£1284.00;+£236.15;
07/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£1.00;+£1520.15;
07/11/2024;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£3.60;+£1521.15;
07/11/2024;CARD PAYMENT;***** ******* **** ***** ***** ** **********;-£11.23;+£1524.75;
07/11/2024;CARD PAYMENT;********* **** *** **** ***** ***** ** **********;-£10.29;+£1535.98;
07/11/2024;CARD PAYMENT;**** ******* ** ***** ********   ** **********;-£5.04;+£1546.27;
07/11/2024;CARD PAYMENT;**** ******* ** ****** ****   ** **********;-£4.99;+£1551.31;
07/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£1556.30;
06/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£1558.30;
06/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£1.00;+£1560.30;
06/11/2024;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£10.85;+£1561.30;
06/11/2024;CARD PAYMENT;***** **** ******* **** ***** ***** ** **********;-£5.25;+£1572.15;
06/11/2024;CARD PAYMENT;****************** **** ***** ***** ** **********;-£2.00;+£1577.40;
06/11/2024;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.00;+£1579.40;
05/11/2024;CARD PAYMENT;********* ** **** ***** ***** ** **********;-£2.50;+£1581.40;
05/11/2024;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£0.60;+£1583.90;
